Date	H:M	Height	S/N	Noise	Ne	Te	Ti	t_0	t_min	a_min	Te	Ti
20191001	18:50	127.159	0.0142001	91.1792	6.30487	14115	-nan	101.945	240	-nan	567.125	548.55
20191001	18:50	128.337	0.0258386	87.545	6.40032	985.472	279.7	345.17	616	-0.466356	572.973	552.754
20191001	18:50	129.514	0.0160932	86.2603	6.49518	1166.82	113.572	340.294	760	-0.839356	578.717	556.791
20191001	18:50	130.691	0.0216165	89.3496	6.58941	118.754	-nan	706.639	832	-nan	584.356	560.667
20191001	18:50	131.869	0.021347	86.7683	6.68295	1798.54	148.273	261.646	488	-0.915703	589.893	564.383
20191001	18:50	133.046	0.0316774	93.4735	6.77577	117.796	-nan	742.354	896	-nan	595.329	567.944
20191001	18:50	134.224	0.0206106	89.9104	6.86783	-nan	-nan	-nan	-nan	-nan	600.666	571.353
20191001	18:50	135.401	0.0147773	92.373	6.95907	643.853	95.1959	385.079	576	-0.671697	605.904	574.613
20191001	18:50	136.578	0.0209765	87.36	7.04947	185.179	-nan	630.156	808	-nan	611.045	577.728
20191001	18:50	137.756	0.0151116	89.8684	7.13898	109.562	-nan	727.148	848	-nan	616.091	580.702
20191001	18:50	138.933	0.0184451	95.9487	7.22756	94.4877	-nan	776.991	896	-nan	621.042	583.538
20191001	18:50	140.111	0.0194967	86.528	7.31518	682.171	669.286	364.176	528	-0.192957	625.9	586.239
20191001	18:50	141.288	0.0274574	84.4458	7.4018	131.269	-nan	716.849	880	-nan	630.667	588.811
20191001	18:50	142.465	0.0372785	85.0451	7.48737	319.276	107.119	522.88	736	-0.422341	635.343	591.256
20191001	18:50	143.643	0.0244774	84.9819	7.57187	116.582	18.9818	690.301	800	-0.637436	639.93	593.578
20191001	18:50	144.82	0.0185596	86.8491	7.65527	144.514	-nan	708.248	896	-nan	644.43	595.781
20191001	18:50	145.998	0.0370942	84.8674	7.73753	526.866	-nan	476.021	896	-nan	648.843	597.869
20191001	18:50	147.175	0.037911	82.7277	7.81861	1576.41	127.807	280.246	528	-0.923726	653.171	599.845
20191001	18:50	148.352	0.027044	86.3463	7.89849	137.944	-nan	708.788	880	-nan	657.416	601.713
20191001	18:50	149.53	0.0309331	83.7159	7.97714	347.913	-nan	528.67	800	-nan	661.578	603.477
20191001	18:50	150.707	0.023303	88.4279	8.05453	929.67	368.919	327.172	504	-0.381038	665.659	605.141
20191001	18:50	151.885	0.0324752	83.4809	8.13063	538.719	345.752	414.718	608	-0.275591	669.661	606.708
20191001	18:50	153.062	0.0378149	85.8655	8.20541	459.035	842.38	390.018	504	-0.0577853	673.584	608.181
